year,pct,ser_num,datestop,timestop,recstat,inout,trhsloc,perobs,crimsusp,perstop,typeofid,explnstp,othpers,arstmade,arstoffn,sumissue,sumoffen,compyear,comppct,offunif,officrid,frisked,searched,contrabn,adtlrept,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other,radio,ac_rept,ac_inves,rf_vcrim,rf_othsw,ac_proxm,rf_attir,cs_objcs,cs_descr,cs_casng,cs_lkout,rf_vcact,cs_cloth,cs_drgtr,ac_evasv,ac_assoc,cs_furtv,rf_rfcmp,ac_cgdir,rf_verbl,cs_vcrim,cs_bulge,cs_other,ac_incid,ac_time,rf_knowl,ac_stsnd,ac_other,sb_hdobj,sb_outln,sb_admis,sb_other,repcmd,revcmd,rf_furt,rf_bulg,offverb,offshld,forceuse,sex,race,dob,age,ht_feet,ht_inch,weight,haircolr,eyecolor,build,othfeatr,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,aptnum,city,state,zip,addrpct,sector,beat,post,xcoord,ycoord,dettypCM,lineCM,detailCM,lat1,lng1,lat2,lng2,full_addr1,full_addr2
2015,84,226,11032015,1340, ,O,P,1,BURGLARY (FEL),8,V,Y,N,N, ,Y,UMP,0,0,N, ,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,84,84,Y,Y,V,S, ,M,B, ,20,5,10,200,BK,BR,Z,SMALL,L, , ,STREET,325,STATE STREET,BOND STREET,HOYT STREET, ,BROOKLYN, , ,84,G, , ,988180,189981,CM,1,14,40.6882885,-73.98582259999999,,,"325 State St, Brooklyn, NY 11217, USA",
2015,78,75,11222015,130,1,O,P,1,CPW,7,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,78,78,Y,N, , ,OT,M,B, ,24,6,1,170,BK,BR,T, ,L, , ,STREET,326,BUTLER STREET,4 AVENUE,3 AVENUE, ,BROOKLYN, , ,78,C,7, ,989192,187120,CM,1,20,40.680105,-73.982418,,,"326 Butler St, Brooklyn, NY 11217, USA",
2015,10,62,7192015,1845,1,O,P,7,MISDEMEANOR,5,V,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,10,10,N,N, , , ,M,B, ,15,5,7,165,BK,XX,T, ,L, , ,STREET,326,WEST 17 STREET,9 AVENUE,8 AVENUE, ,MANHATTAN, , ,10,A, ,19,983672,209630,CM,1,9,40.74192,-74.0024229,,,"326 W 17th St, New York, NY 10011, USA",
2015,28,134,9292015,2330,1,O,P,1,FELONY,15,V,Y,Y,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,28,28,N,N,V,S,DS,M,B, ,28,6,2,200,BK,BR,M, ,L, , ,SIDEWALK,327,WEST 126 STREET,SAINT NICHOLAS AVENUE,DOUGLASS BOULEVARD, ,MANHATTAN, , ,28,J, ,81,997696,234811,CM,1,46,40.811464,-73.951666,,,"327 W 126th St, New York, NY 10027, USA",
2015,28,133,9292015,2330,1,O,P,1,FELONY,15,V,Y,Y,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,28,28,N,N,V,S,DS,M,P, ,31,5,8,250,BK,BR,U, ,L, , ,SIDEWALK,327,WEST 126 STREET,SAINT NICHOLAS AVENUE,DOUGLASS BOULEVARD, ,MANHATTAN, , ,28,J, ,81,997696,234811,CM,1,46,40.811464,-73.951666,,,"327 W 126th St, New York, NY 10027, USA",
2015,40,149,3212015,1940,1,I,H,1,MISD,5,P,Y,N,Y,CRIMINAL TRESPASS,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,807,807,N,N, , ,OT,M,B, ,59,6,1,225,BK,BR,M, ,L, , ,STAIRWAY,328,EAST 145 STREET,3 AVENUE,COLLEGE AVENUE, ,BRONX, , ,40,I,9, ,1005922,236101,CM,1,31,40.8146936,-73.9220966,,,"328 E 145th St, Bronx, NY 10451, USA",
2015,40,150,3212015,1940,1,I,H,1,MISD,5,P,Y,Y,Y,CRIMINAL TRESPASS,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,807,807,N,N, , ,OT,M,B, ,39,6,2,200,BK,BR,M, ,L, , ,STAIRWAY,328,EAST 145 STREET,3 AVENUE,COLLEGE AVENUE, ,BRONX, , ,40,I,9, ,1005922,236101,CM,1,31,40.8146936,-73.9220966,,,"328 E 145th St, Bronx, NY 10451, USA",
2015,40,992,12152015,2030,1,O,H,2,CPW,3,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,807,807,Y,Y, , , ,M,Q, ,16,5,8,145,BK,BR,T, ,L, , ,SIDEWALK,328,EAST 145 STREET,3 AVENUE,COLLEGE AVENUE, ,BRONX, , ,40,I,9, ,1005922,236101,CM,1,20,40.8146936,-73.9220966,,,"328 E 145th St, Bronx, NY 10451, USA",
2015,40,997,12182015,2106,1,O,H,1,CPW,3,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,807,807,N,N, , , ,M,B, ,27,5,10,165,BK,BR,M, ,L, , ,SIDEWALK,328,EAST 145 STREET,3 AVENUE,COLLEGE AVENUE, ,BRONX, , ,40,I,9, ,1005922,236101,CM,1,20,40.8146936,-73.9220966,,,"328 E 145th St, Bronx, NY 10451, USA",
2015,9,15,1202015,1429,1,O,P,1,CPW-GUN RUN,5,P,Y,Y,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,9,9,N,N, , ,DS,M,Q, ,20,5,3,140,BR,BR,M, ,L, , ,STREET,329,EAST 10 STREET,AVENUE B,AVENUE A, ,MANHATTAN, , ,9,B,5,30,989586,204227,CM,1,20,40.727354,-73.980532,,,"329 E 10th St, New York, NY 10009, USA",
