datestop,arstmade,frisked,searched,addrnum,stname,stinter,crossst
4252015,N,Y,N,992,FLATBUSH AVENUE,REGENT PLACE,ALBEMARLE ROAD
4252015,N,Y,N,992,FLATBUSH AVENUE,REGENT PLACE,ALBEMARLE ROAD
4252015,N,Y,N, , ,LINDEN BOULEVARD,JUNIUS STREET
4282015,N,N,N,6710,BAY PARKWAY,68 STREET,67 STREET
4292015,N,Y,N, , ,SURF AVENUE,STILLWELL AVENUE
4292015,N,Y,N, , ,KINGS HIGHWAY,EAST 16 STREET
5022015,N,Y,N,1689,TROY AVENUE,AVENUE I,AVENUE H
5032015,N,Y,N, , ,JUNIUS STREET,SUTTER AVENUE
5062015,N,Y,N, , ,DUMONT AVENUE,VERMONT STREET
5082015,N,Y,N, , ,MONTGOMERY STREET,DEARBORN COURT
5092015,N,Y,N, , ,VERMONT STREET,WORTMAN AVENUE
5102015,N,Y,N, , ,DE KALB AVENUE,FRANKLIN AVENUE
5102015,N,Y,N,212,THROOP AVENUE,MYRTLE AVENUE,PARK AVENUE
5102015,N,Y,N,212,THROOP AVENUE,MYRTLE AVENUE,PARK AVENUE
5102015,N,Y,N, , ,MYRTLE AVENUE,THROOP AVENUE
5102015,N,Y,N, , ,MYRTLE AVENUE,THROOP AVENUE
5102015,N,N,N, , ,AVENUE V,NOSTRAND AVENUE
5122015,N,Y,N,660,PENNSYLVANIA AVENUE,HEGEMAN AVENUE,NEW LOTS AVENUE
5172015,N,Y,Y, , ,EAST 21 STREET,KENMORE TERRACE
5182015,N,Y,N, , ,BOYLAND STREET,FULTON STREET
5182015,N,N,N,1259,LORING AVENUE,ELDERTS LANE,AUTUMN AVENUE
5212015,N,Y,N, , ,LORIMER STREET,MAUJER STREET
5242015,N,Y,N, , ,EAST 48 STREET,FARRAGUT ROAD
5242015,N,Y,N, , ,EAST 48 STREET,FARRAGUT ROAD
5262015,N,Y,N, , ,THROOP AVENUE,WHIPPLE STREET
5272015,N,N,N, , ,86 STREET,20 AVENUE
5272015,N,N,N,401,STATE STREET,NEVINS STREET,BOND STREET
5272015,Y,Y,N, , ,SURF AVENUE,STILLWELL AVENUE
5282015,N,Y,N, , ,FRANKLIN AVENUE,EASTERN PARKWAY
5282015,N,Y,N, , ,FRANKLIN AVENUE,EASTERN PARKWAY
5292015,N,N,N, , ,MARCUS GARVEY BOULEVARD,WILLOUGHBY AVENUE
5292015,N,Y,N,921,MYRTLE AVENUE,THROOP AVENUE,TOMPKINS AVENUE
5312015,Y,Y,N,414,SUTTER AVENUE,POWELL STREET,STONE AVENUE
6012015,N,Y,N,301,SUTTER AVENUE,OSBORN PROJECTS,ROCKAWAY AVENUE
6032015,N,Y,N,230,BAY 22 STREET,20 DRIVE,CROPSEY AVENUE
6032015,N,Y,N, , ,POWELL STREET,LIVONIA AVENUE
6032015,N,Y,N, , ,LIVONIA AVENUE,POWELL STREET
6072015,N,Y,N, , ,WARREN STREET,HOYT STREET
6072015,N,Y,N,991,MYRTLE AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE
6072015,N,Y,N,991,MYRTLE AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE
6072015,N,Y,N,991,MYRTLE AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE
6072015,N,Y,N,991,MYRTLE AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE
6072015,N,Y,N,991,MYRTLE AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE
6072015,N,Y,N,991,MYRTLE AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE
6082015,N,Y,N, , ,SULLIVAN PLACE,ROGERS AVENUE
6092015,N,Y,N, , ,EAST NEW YORK AVENUE,EAST 95 STREET
6092015,N,Y,N, , ,SNYDER AVENUE,FLATBUSH AVENUE
6122015,N,Y,N, , ,SCHENECTADY AVENUE,FULTON STREET
6132015,N,Y,N, , ,CLARENDON ROAD,FLATBUSH AVENUE
6132015,N,Y,N, , ,CLARENDON ROAD,FLATBUSH AVENUE
6132015,N,Y,N, , ,CLARENDON ROAD,FLATBUSH AVENUE
6142015,N,Y,N, , ,EAST 52 STREET,BEVERLEY ROAD
6152015,N,N,N, , ,SURF AVENUE,STILLWELL AVENUE
6162015,N,Y,N, , ,PLEASANT PLACE,HERKIMER STREET
6172015,N,Y,N,51,NOSTRAND AVENUE,PARK AVENUE,FLUSHING AVENUE
6172015,N,Y,N,51,NOSTRAND AVENUE,PARK AVENUE,FLUSHING AVENUE
6172015,N,Y,N,539,GREENE AVENUE,MARCY AVENUE,NOSTRAND AVENUE
6172015,N,Y,N,539,GREENE AVENUE,MARCY AVENUE,NOSTRAND AVENUE
6172015,N,Y,N,566,PARK AVENUE,MARCY AVENUE,NOSTRAND AVENUE
6172015,N,Y,N,584,PARK AVENUE,MARCY AVENUE,NOSTRAND AVENUE
6172015,N,Y,N,584,PARK AVENUE,MARCY AVENUE,NOSTRAND AVENUE
6172015,N,Y,N,584,PARK AVENUE,MARCY AVENUE,NOSTRAND AVENUE
6182015,Y,Y,Y, , ,AVENUE V,HARING STREET
6182015,N,Y,N,808,PARK AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE
6182015,N,Y,N, , ,MYRTLE AVENUE,MARCY AVENUE
6182015,N,N,N,238,BOND STREET,DOUGLASS STREET,BALTIC STREET
6182015,N,N,N,238,BOND STREET,DOUGLASS STREET,BALTIC STREET
6202015,N,Y,N, , ,EAST 91 STREET,CHURCH AVENUE
6222015,N,N,N, , ,LEWIS AVENUE,QUINCY STREET
6232015,N,Y,N, , ,BLAKE AVENUE,NEW JERSEY AVENUE
6242015,N,N,N, , ,DUMONT AVENUE,GRAFTON STREET
6242015,N,N,N, , ,KNICKERBOCKER AVENUE,JEFFERSON AVENUE
6242015,N,Y,Y, , ,WEST 21 STREET,MERMAID AVENUE
6252015,N,Y,N,393,DUMONT AVENUE,POWELL STREET,STONE AVENUE
6252015,N,Y,N,393,DUMONT AVENUE,POWELL STREET,STONE AVENUE
6252015,Y,N,N, , ,SURF AVENUE,STILLWELL AVENUE
6252015,Y,Y,N,920,MYRTLE AVENUE,THROOP AVENUE,TOMPKINS AVENUE
6262015,Y,Y,Y,36,WEST 9 STREET,HICKS STREET,COLUMBIA STREET
6272015,Y,Y,N,2945,WEST 23 STREET,SURF AVENUE,MERMAID AVENUE
6282015,N,N,N,86,VAN SICLEN AVENUE,FULTON STREET,ARLINGTON AVENUE
6282015,N,N,N,86,VAN SICLEN AVENUE,FULTON STREET,ARLINGTON AVENUE
6282015,N,N,N,86,VAN SICLEN AVENUE,FULTON STREET,ARLINGTON AVENUE
6292015,Y, ,Y,RESIDENTIAL,85,TOMPKINS AVENUE,STOCKTON STREET
6292015,Y, ,Y,RESIDENTIAL,85,TOMPKINS AVENUE,STOCKTON STREET
6292015,Y, ,Y,PUBLIC/ RESIDENTIAL,85,TOMPKINS AVENUE,STOCKTON STREET
6302015,N,Y,N, , ,MARCY AVENUE,LAFAYETTE AVENUE
7012015,Y,N,N,***,SURF AVENUE,WEST 21 STREET,WEST 20 STREET
7012015,Y,Y,N, , ,SLOCUM PLACE,STRATFORD ROAD
7032015,Y,Y,Y,60,FLEET WALK,MYRTLE AVENUE,TILLARY STREET
7052015,N,Y,Y, , ,SURF AVENUE,WEST 12 STREET
7062015,N,Y,N, , ,SURF AVENUE,WEST 21 STREET
7072015,N,Y,N,144,WOODBINE STREET,CENTRAL AVENUE,EVERGREEN AVENUE
7072015,N,N,N,795,EAST 108 STREET,FLATLANDS AVENUE,GLENWOOD ROAD
7072015,N,N,N, , ,HINSDALE STREET,STANLEY AVENUE
7072015,N,N,N, , ,OCEAN PARKWAY,DITMAS AVENUE
7082015,N,Y,N, , ,PROSPECT PLACE,BROOKLYN AVENUE
7082015,N,Y,N, , ,WEST 15 STREET,SURF AVENUE
7092015,N,Y,N, , ,MARCY AVENUE,GREENE AVENUE
7132015,N,N,N, ,SUTTER AVENUE,STONE AVENUE,OSBORN PROJECTS
7152015,Y,Y,Y,142,MAUJER STREET,GRAHAM AVENUE,MANHATTAN AVENUE
7152015,Y,Y,Y,142,MAUJER STREET,GRAHAM AVENUE,MANHATTAN AVENUE
7172015,N,Y,N,485,FOUNTAIN AVENUE,LINDEN BOULEVARD,SUTTER AVENUE
7182015,Y,Y,Y, ,SUTTER AVENUE,JUNIUS STREET,POWELL STREET
7222015,N,Y,N, , ,86 STREET,19 AVENUE
7232015,N,Y,N, , ,78 STREET,NEW UTRECHT AVENUE
7232015,N,N,N,495,PENNSYLVANIA AVENUE,LIVONIA AVENUE,DUMONT AVENUE
7262015,N,N,N,55,WASHINGTON STREET,FRONT STREET,WATER STREET
7262015,N,Y,N, , ,EAST 2 STREET,AVENUE P
7272015,N,N,N, , ,NEPTUNE AVENUE,CONEY ISLAND AVENUE
7272015,N,Y,N, , ,STUYVESANT AVENUE,MADISON STREET
7272015,N,Y,N, , ,STUYVESANT AVENUE,MADISON STREET
7302015,Y,Y,Y, , ,SURF AVENUE,STILLWELL AVENUE
7302015,N,Y,Y,***,36 STREET,CLARA STREET,TEHAMA STREET
7312015,N,Y,N,***,16 AVENUE,50 STREET,49 STREET
7312015,N,N,N, , ,PACIFIC STREET,4 AVENUE
8012015,N,N,N,25,HALSEY STREET,NOSTRAND AVENUE,BEDFORD AVENUE
8012015,N,N,N,25,HALSEY STREET,NOSTRAND AVENUE,BEDFORD AVENUE
8012015,Y,Y,N, , ,LIBERTY AVENUE,LINCOLN AVENUE
8022015,N,Y,N,177,SANDS STREET,GOLD STREET,CHARLES STREET
8022015,N,Y,N,177,SANDS STREET,GOLD STREET,CHARLES STREET
8022015,N,Y,N, , ,NOSTRAND AVENUE,MADISON STREET
8042015,N,N,N,***,OCEAN AVENUE,AVENUE N,AVENUE M
8042015,N,N,N,***,OCEAN AVENUE,AVENUE N,AVENUE M
8042015,N,N,N,***,OCEAN AVENUE,AVENUE N,AVENUE M
8072015,N,Y,Y,574,WARREN STREET,4 AVENUE,3 AVENUE
8072015,Y,N,Y,***,LORING AVENUE,DREW STREET,ELDERTS LANE
8112015,N,Y,Y, , ,UTICA AVENUE,MAPLE STREET
8112015,N,Y,N, , ,BENSON AVENUE,BAY 29 STREET
8122015,Y,Y,Y, , ,SKILLMAN STREET,DE KALB AVENUE
8152015,N,N,N, , ,CHAUNCEY STREET,REID AVENUE
8162015,Y,Y,Y, , ,WEST 3 STREET,AVENUE O
8172015,N,Y,N,393,DUMONT AVENUE,POWELL STREET,STONE AVENUE
8172015,N,N,N, , ,63 STREET,20 AVENUE
8192015,N,N,N,393,DUMONT AVENUE,POWELL STREET,STONE AVENUE
8192015,N,N,N,393,DUMONT AVENUE,POWELL STREET,STONE AVENUE
8252015,N,N,N, , ,BROADWAY,COOPER STREET
8262015,N,N,N,744,SCHENCK AVENUE,LINDEN BOULEVARD,HEGEMAN AVENUE
8262015,N,Y,Y,***,LORING AVENUE,ELDERTS LANE,AUTUMN AVENUE
8272015,Y,Y,Y,***,FULTON STREET,RALPH AVENUE,PATCHEN AVENUE
8272015,Y,Y,Y,***,FULTON STREET,RALPH AVENUE,PATCHEN AVENUE
8272015,N,Y,N,131,STERLING STREET,ROGERS AVENUE,BEDFORD AVENUE
8292015,N,Y,N, , ,FOSTER AVENUE,WESTMINISTER ROAD
8302015,N,Y,N, , ,AVENUE M,EAST 17 STREET
9022015,N,N,N,28,3 STREET,HOYT STREET,SMITH STREET
9022015,Y,Y,N,129,KENT AVENUE,NORTH 6 STREET,NORTH 7 STREET
9052015,Y,Y,Y, , ,BEDFORD AVENUE,PUTNAM AVENUE
9052015,Y,Y,Y,***,40 STREET,FORT HAMILTON PARKWAY,10 AVENUE
9082015,Y,Y,Y,***,76 STREET,20 AVENUE,19 AVENUE
9092015,N,Y,N,55,EAST 18 STREET,CHURCH AVENUE,CATON AVENUE
9102015,N,Y,N,***,STERLING PLACE,RALPH AVENUE,BUFFALO AVENUE
9202015,Y,Y,N,747,MACDONOUGH STREET,BOYLAND STREET,SARATOGA AVENUE
9222015,N,Y,N, , ,NOSTRAND AVENUE,CLIFTON PLACE
9222015,N,Y,N, , ,NOSTRAND AVENUE,CLIFTON PLACE
9222015,N,Y,N, , ,NOSTRAND AVENUE,CLIFTON PLACE
9232015,N,Y,N,252,OSBORN STREET,BLAKE AVENUE,DEAD END
9242015,N,Y,Y, , ,FRANKLIN AVENUE,PUTNAM AVENUE
9242015,Y,Y,Y, , ,FRANKLIN AVENUE,PUTNAM AVENUE
9262015,N,N,N,219,KINGSBOROUGH 2 WALK,BERGEN STREET,PACIFIC STREET
10032015,N,Y,N, , ,HERKIMER STREET,KINGSTON AVENUE
10042015,N,Y,N, , ,EASTERN PARKWAY,SCHENECTADY AVENUE
10052015,Y,N,N,2920,BRIGHTON 8 STREET,OCEANVIEW AVENUE,NEPTUNE AVENUE
10062015,N,Y,N, , ,NEW UTRECHT AVENUE,47 STREET
10092015,N,Y,N, , ,EAST 94 STREET,AVENUE L
10092015,Y,N,N, , ,4 AVENUE,53 STREET
10102015,N,Y,N,545,MARCY AVENUE,STOCKTON STREET,KING PLACE
10102015,N,Y,N,545,MARCY AVENUE,STOCKTON STREET,KING PLACE
10102015,N,Y,N,172,TOMPKINS AVENUE,PULASKI STREET,HART STREET
10112015,N,Y,N, , ,ROGERS AVENUE,PARKSIDE AVENUE
10132015,N,Y,N,300,WILLOUGHBY AVENUE,TAAFFE PLACE,CLASSON AVENUE
10132015,N,Y,N, , ,CHRISTOPHER AVE,NEW LOTS AVENUE
10142015,Y,N,N, , ,BRIGHTON BEACH AVENUE,OCEAN PARKWAY
10142015,N,Y,N,667,ATKINS AVENUE,WORTMAN AVENUE,STANLEY AVENUE
10152015,Y,Y,Y, , ,SMITH STREET,PRESIDENT STREET
10202015,Y,Y,N,321,UTICA AVENUE,CARROLL STREET,PRESIDENT STREET
10202015,N,Y,N, , ,EAST 21 STREET,REGENT PLACE
10202015,N,Y,N, , ,EAST 21 STREET,REGENT PLACE
10232015,Y,Y,Y, , ,FRANKLIN AVENUE,EASTERN PARKWAY
10232015,N,N,N,172,AMBOY STREET,BLAKE AVENUE,SUTTER AVENUE
10252015,Y,Y,Y,390,BUSHWICK AVENUE,BUSHWICK COURT,MOORE STREET
10252015,N,Y,N,41,NOSTRAND AVENUE,PARK AVENUE,FLUSHING AVENUE
10272015,Y,N,N, , ,KINGS HIGHWAY,EAST 16 STREET
10292015,N,Y,N, , ,TRUXTON STREET,SACKMAN STRRET
10292015,Y,Y,Y,46,SAINT EDWARDS STREET,AUBURN PLACE,PARK AVENUE
10292015,Y,Y,N,606,45 STREET,7 AVENUE,6 AVENUE
10312015,N,Y,N, , ,CHURCH AVENUE,EAST 18 STREET
11012015,N,N,N, , ,AVENUE J,OCEAN AVENUE
11012015,Y,N,Y,272,WYCKOFF STREET,3 AVENUE,NEVINS STREET
11012015,N,N,N, , ,BAY PARKWAY,85 STREET
11012015,N,N,N, , ,BAY PARKWAY,85 STREET
11022015,N,Y,Y,954,BROADWAY,STUYVESANT AVENUE,MYRTLE AVENUE
11042015,Y,N,N, , ,SURF AVENUE,STILLWELL AVENUE
11042015,N,N,N,670,DECATUR STREET,BOYLAND STREET,SARATOGA AVENUE
11092015,N,N,N,1082,HEGEMAN AVENUE,FOUNTAIN AVENUE,LOGAN STREET
11092015,N,N,N,1082,HEGEMAN AVENUE,FOUNTAIN AVENUE,LOGAN STREET
11102015,Y,Y,Y,30,AVENUE V,WEST 12 STREET,STILLWELL AVENUE
11112015,N,N,N,2070,STUART STREET,AVENUE T,AVENUE S
11122015,Y,Y,Y,2926,WEST 25 STREET,SURF AVENUE,MERMAID AVENUE
11132015,N,N,N,1825,EAST 22 STREET,AVENUE R,QUENTIN ROAD
11132015,N,N,N,1823,EAST 22 STREET,AVENUE R,QUENTIN ROAD
11152015,Y,Y,Y, ,WINTHROP STREET,EAST 52 STREET,EAST 53 STREET
11172015,N,Y,N,1500,FULTON STREET,ALBANY AVENUE,KINGSTON AVENUE
11172015,N,Y,N,1500,FULTON STREET,ALBANY AVENUE,KINGSTON AVENUE
11182015,N,N,N, , ,NEW UTRECHT AVENUE,71 STREET
11182015,N,N,N, , ,20 AVENUE,CROPSEY AVENUE
11192015,N,N,N, , ,HENRY STREET,1 PLACE
11192015,Y,N,N, , ,SURF AVENUE,STILLWELL AVENUE
11202015,N,Y,N,25,MACDONOUGH STREET,TOMPKINS AVENUE,MARCY AVENUE
11232015,N,Y,N,1820,NOSTRAND AVENUE,AVENUE D,CLARENDON ROAD
11232015,N,Y,N,375,61 STREET,4 AVENUE,3 AVENUE
11232015,N,Y,N,375,61 STREET,4 AVENUE,3 AVENUE
11242015,N,Y,Y,360,DUMONT AVENUE,STONE AVENUE,ROCKAWAY AVENUE
11242015,N,Y,N, , ,CORTELYOU ROAD,EAST 23 STREET
11242015,N,Y,N, , ,FARRAGUT ROAD,EAST 29 STREET
11242015,N,N,N,527,EAST 26 STREET,FLATBUSH AVENUE,FOSTER AVENUE
11242015,N,N,Y,527,EAST 26 STREET,FLATBUSH AVENUE,FOSTER AVENUE
11242015,N,N,N,527,EAST 26 STREET,FLATBUSH AVENUE,FOSTER AVENUE
11252015,N,Y,N,484,GATES AVENUE,TOMPKINS AVENUE,MARCY AVENUE
11252015,N,N,N,1136,FULTON STREET,BEDFORD AVENUE,FRANKLIN AVENUE
11252015,N,N,N,1136,FULTON STREET,BEDFORD AVENUE,FRANKLIN AVENUE
11272015,N,N,N, , ,DE KALB AVENUE,FLATBUSH AVENUE EXTENSION
11272015,N,N,N, , ,DE KALB AVENUE,FLATBUSH AVENUE EXTENSION
11272015,N,N,N, , ,DE KALB AVENUE,FLATBUSH AVENUE EXTENSION
11272015,N,N,N, , ,DE KALB AVENUE,FLATBUSH AVENUE EXTENSION
12052015,N,Y,N,13,MELROSE STREET,BUSHWICK AVENUE,BROADWAY
12052015,N,Y,N, , ,FULTON STREET,THROOP AVENUE
12052015,N,Y,Y, , ,ROGERS AVENUE,EMPIRE BOULEVARD
12072015,N,N,N, , ,SURF AVENUE,WEST 21 STREET
12072015,N,Y,N, , ,SURF AVENUE,WEST 21 STREET
12072015,N,Y,N,1403,MERMAID AVENUE,WEST 15 STREET,STILLWELL AVENUE
12102015,N,Y,N,372,BLAKE AVENUE,POWELL STREET,STONE AVENUE
12102015,N,N,N,612,FLATBUSH AVENUE,CHESTER COURT,BEEKMAN PLACE
12152015,Y,N,N, , ,NEWKIRK AVENUE,EAST 16 STREET
12152015,N,N,N,100,AVENUE P,WEST 11 STREET,WEST 12 STREET
12152015,N,N,N, , ,LIBERTY AVENUE,CRYSTAL STREET
12172015,N,Y,N, , ,KNICKERBOCKER AVENUE,PUTNAM AVENUE
12182015,N,Y,N,305,BUFFALO AVENUE,EAST NEW YORK AVENUE,EASTERN PARKWAY
12192015,N,Y,N, , ,AVENUE B,RALPH AVENUE
12192015,N,N,N,397,BRIDGE STREET,FULTON STREET,WILLOUGHBY STREET
12222015,N,N,N, , ,EAST 12 STREET,AVENUE J
12222015,N,N,N,3144,BAY VIEW AVENUE,WEST 33 STREET,NEPTUNE AVENUE
12222015,Y,N,Y, , ,NEWKIRK AVENUE,EAST 16 STREET
12242015,N,Y,N,560,LINCOLN PLACE,FRANKLIN AVENUE,CLASSON AVENUE
12262015,Y,N,Y, , ,DEBEVOISE STREET,GRAHAM AVENUE
12262015,N,N,Y, , ,DEBEVOISE STREET,GRAHAM AVENUE
12262015,Y,N,Y, , ,DEBEVOISE STREET,GRAHAM AVENUE
12292015,N,N,N,131,LORRAINE STREET,HENRY STREET,HICKS STREET
1012015,Y,Y,N, , ,BROADWAY,PARK AVENUE
1022015,N,Y,N, , ,GREENE AVENUE,BUSHWICK AVENUE
1022015,N,Y,N, , ,GREENE AVENUE,BUSHWICK AVENUE
1022015,N,Y,N,422,BLAKE AVENUE,POWELL STREET,STONE AVENUE
1032015,N,Y,N, , ,BRADFORD STREET,ATLANTIC AVENUE
1032015,N,Y,N,1735,PITKIN AVENUE,OSBORN STREET,THATFORD AVENUE
1082015,N,Y,N, , ,BRIDGE STREET,WATER STREET
1102015,N,Y,N, , ,CHURCH AVENUE,KINGS HIGHWAY
1102015,N,Y,N,89,CHRISTOPHER AVE,GLENMORE PROJECTS,GLENMORE AVENUE
1102015,N,Y,Y,52,LORRAINE STREET,HICKS STREET,COLUMBIA STREET
1122015,N,Y,N,191,SANDS STREET,NAVY STREET,GOLD STREET
1132015,N,Y,N,224,YORK STREET,NAVY STREET,GOLD STREET
1132015,N,Y,N,3641,NOSTRAND AVENUE,AVENUE X,AVENUE W
1142015,N,N,N, , ,FRONT STREET,BRIDGE STREET
1142015,N,Y,N,1053,ROGERS AVENUE,CORTELYOU ROAD,BEVERLEY ROAD
1152015,N,Y,N, , ,TOMPKINS AVENUE,VERNON AVENUE
1152015,N,N,N, , ,WILLMOHR STREET,ROCKAWAY PARKWAY
1162015,N,N,N, , ,EAST 21 STREET,CHURCH AVENUE
1182015,N,N,N, , ,ADAMS STREET,TILLARY STREET
1182015,N,N,N, , ,BLAKE AVENUE,EUCLID AVENUE
1192015,N,N,N, , ,MC DONALD AVENUE,KINGS HIGHWAY
1202015,N,Y,N,224,YORK STREET,NAVY STREET,GOLD STREET
1202015,N,Y,N,191,SANDS STREET,NAVY STREET,GOLD STREET
1212015,Y,N,N, , ,3 AVENUE,68 STREET
1212015,N,Y,N, , ,LIVINGSTON STREET,NEVINS STREET
1232015,N,Y,Y, , ,THROOP AVENUE,BARTLETT STREET
1232015,N,Y,N, , ,TOMPKINS AVENUE,LAFAYETTE AVENUE
1232015,N,Y,N, , ,LAFAYETTE AVENUE,TOMPKINS AVENUE
1242015,N,N,N,2257,WEST 11 STREET,AVENUE X,AVENUE V
1272015,Y,N,N,239,SCHAEFER STREET,KNICKERBOCKER AVENUE,WILSON AVENUE
1272015,N,Y,N,233,SANDS STREET,NAVY STREET,GOLD STREET
1282015,N,Y,N,921,MYRTLE AVE, , 
1302015,N,Y,Y, , ,KNICKERBOCKER AVENUE,ELDERT STREET
1312015,N,N,N, , ,SOUTH 3 STREET,KEAP STREET
1312015,N,N,N, , ,SOUTH 3 STREET,KEAP STREET
2042015,N,N,N,936,43 STREET,10 AVENUE,9 AVENUE
2042015,N,N,N,936,43 STREET,10 AVENUE,9 AVENUE
2042015,N,Y,N, , ,HAVEMEYER STREET,GRAND STREET
2042015,N,N,N, , ,BLAKE AVENUE,FOUNTAIN AVENUE
2042015,N,Y,N, , ,ALBANY AVENUE,HERKIMER STREET
2042015,N,Y,N, , ,HERKIMER STREET,ALBANY AVENUE
2052015,N,Y,N, , ,BERGEN STREET,BOND STREET
2052015,N,Y,N,55,LENOX ROAD,BEDFORD AVENUE,FLATBUSH AVENUE
2052015,N,Y,N,2960,WEST 31 STREET,SURF AVENUE,ODWYER GARDENS
2072015,N,Y,N,300,BUSHWICK AVENUE,MC KIBBIN STREET,BOERUM STREET
2082015,N,Y,N, , ,MADISON STREET,MARCY AVENUE
2082015,N,Y,N, , ,MADISON STREET,MARCY AVENUE
2082015,N,Y,N,1009,FLATBUSH AVENUE,TILDEN AVENUE,ALBEMARLE ROAD
2082015,N,Y,N, , ,THROOP AVENUE,MYRTLE AVENUE
2082015,N,Y,N, , ,PARK AVENUE,TOMPKINS AVENUE
2082015,N,Y,N, , ,PARK AVENUE,TOMPKINS AVENUE
2092015,N,Y,Y,821,FRANKLIN AVENUE,UNION STREET,EASTERN PARKWAY
2102015,N,N,N,14,AUBURN PLACE,NORTH PORTLAND AVENUE,SAINT EDWARDS STREET
2122015,N,Y,N,315,SUTTER AVENUE,OSBORN PROJECTS,ROCKAWAY AVENUE
2142015,N,Y,N, , ,CLARKSON AVENUE,FLATBUSH AVENUE
2162015,N,N,N, , ,PACIFIC STREET,NEVINS STREET
2172015,N,Y,N,395,FOUNTAIN AVENUE,LINDEN BOULEVARD,SUTTER AVENUE
2172015,N,N,N, , ,UTICA AVENUE,CHURCH AVENUE
2172015,N,Y,N,345,FOUNTAIN AVENUE,LINDEN BOULEVARD,SUTTER AVENUE
2182015,N,Y,N,12,STAGG STREET,LORIMER STREET,UNION AVENUE
2182015,N,Y,N,588,PARK AVENUE,MARCY AVENUE,NOSTRAND AVENUE
2182015,N,Y,N,586,PARK AVENUE,MARCY AVENUE,NOSTRAND AVENUE
2182015,N,Y,N,586,PARK AVENUE,MARCY AVENUE,NOSTRAND AVENUE
2252015,N,Y,N,345,LIVONIA AVENUE,POWELL STREET,STONE AVENUE
2262015,N,Y,N,123,EAST 92 STREET,WINTHROP STREET,RUTLAND ROAD
2262015,N,Y,N,990,MYRTLE AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE
2262015,N,Y,N,990,MYRTLE AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE
2262015,N,Y,N,990,MYRTLE AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE
2272015,N,Y,N,695,ESSEX STREET,HEGEMAN AVENUE,NEW LOTS AVENUE
2272015,N,Y,N, , ,HEGEMAN AVENUE,MONTAUK AVENUE
2272015,N,Y,N, , ,WILSON AVENUE,ELDERT STREET
2272015,N,N,N, , ,CHURCH AVENUE,UTICA AVENUE
2272015,N,N,N,11,BUSH STREET,COLUMBIA STREET,DWIGHT STREET
2272015,Y,Y,Y,8705,15 AVENUE,BATH AVENUE,BENSON AVENUE
2272015,N,Y,N, , ,AVENUE D,FOSTER AVENUE
3022015,N,N,N, , ,WORTMAN AVENUE,LINCOLN AVENUE
3032015,N,Y,N, , ,EAST 13 STREET,LOCUST AVENUE
3032015,N,Y,Y, , ,EAST 13 STREET,LOCUST AVENUE
3032015,Y,Y,Y, , ,NOSTRAND AVENUE,AVENUE K
3032015,Y,Y,Y, , ,NOSTRAND AVENUE,AVENUE K
3042015,N,Y,N,120,CHAUNCEY STREET,REID AVENUE,STUYVESANT AVENUE
3052015,N,Y,N,466,EAST 85 STREET, , 
3052015,N,Y,N,466,EAST 85 STREET, , 
3052015,N,Y,Y, , ,SAINT JAMES PLACE,FULTON STREET
3072015,N,N,N,2940,WEST 31 STREET,SURF AVENUE,ODWYER GARDENS
3112015,N,N,N,273,ROCHESTER AVENUE,EASTERN PARKWAY,LINCOLN PLACE
3112015,N,Y,N, , ,LOGAN STREET,DUMONT AVENUE
3182015,N,Y,N,5724,BEVERLEY ROAD,EAST 58 STREET,EAST 57 STREET
3182015,Y,Y,N,5724,BEVERLEY ROAD,EAST 58 STREET,EAST 57 STREET
3192015,N,Y,N, , ,GATES AVENUE,BEDFORD AVENUE
3192015,N,Y,N, , ,MACDONOUGH STREET,TOMPKINS AVENUE
3192015,N,Y,N,24,STONE AVENUE,MACDOUGAL STREET,SUMPTER STREET
3192015,N,Y,N,24,STONE AVENUE,MACDOUGAL STREET,SUMPTER STREET
3192015,N,Y,N,24,STONE AVENUE,MACDOUGAL STREET,SUMPTER STREET
3192015,N,Y,N,24,STONE AVENUE,MACDOUGAL STREET,SUMPTER STREET
3192015,N,Y,N, , ,ATKINS AVENUE,HEGEMAN AVENUE
3212015,N,Y,N, , ,GATES AVENUE,BEDFORD AVENUE
3212015,N,Y,N, , ,GATES AVENUE,BEDFORD AVENUE
3212015,N,Y,N, , ,MARCY AVENUE,GREENE AVENUE
3252015,N,Y,N, , ,ATKINS AVENUE,DUMONT AVENUE
3262015,N,Y,N,351,HOWARD AVENUE,DEAN STREET,PACIFIC STREET
3262015,Y,Y,Y,351,HOWARD AVENUE,DEAN STREET,PACIFIC STREET
3272015,N,Y,N, , ,LENOX ROAD,FLATBUSH AVENUE
3282015,Y,N,N,1730,SHORE PARKWAY,BAY 37 STREET,24 AVENUE
